time,open,high,low,close
2021-07-27,17085,17166,17068,17116
2021-07-28,17122,17169,17079,17158
2021-07-29,17162,17223,17125,17208
2021-07-30,17210,17218,17128,17158
2021-08-02,17160,17168,17059,17114
2021-08-03,17162,17164,16989,17034
2021-08-04,17010,17051,16937,16937
2021-08-05,16932,16996,16932,16964
2021-08-06,16967,16991,16890,16895
2021-08-09,16896,16914,16846,16846
2021-08-10,16842,16897,16842,16870
2021-08-11,16869,16905,16847,16897
2021-08-12,16881,16899,16833,16863
2021-08-13,16868,16971,16868,16964
2021-08-16,16960,16969,16915,16915
2021-08-17,16936,16941,16820,16820
2021-08-18,16818,16870,16818,16822
2021-08-19,16839,16931,16797,16809
2021-08-20,16827,16921,16827,16917
2021-08-23,16917,16920,16865,16918
2021-08-24,16922,16940,16895,16911
2021-08-25,16909,16958,16901,16939
2021-08-26,16956,17008,16939,16939
2021-08-27,16937,17019,16924,16997
2021-08-30,17017,17029,16912,16942
2021-08-31,16947,16961,16783,16887
2021-09-01,16838,16921,16838,16903
2021-09-02,16904,16946,16879,16940
2021-09-03,16953,16962,16904,16932
2021-09-06,16939,16943,16863,16874
2021-09-07,16922,16938,16840,16885
2021-09-08,16821,16891,16821,16851
2021-09-09,16832,16875,16832,16847
2021-09-10,16868,16869,16783,16794
2021-09-13,16767,16831,16767,16825
2021-09-14,16821,16869,16810,16810
2021-09-15,16828,16842,16810,16819
2021-09-16,16843,16843,16752,16761
2021-09-17,16755,16777,16672,16672
2021-09-20,16672,16760,16672,16693
2021-09-21,16710,16733,16686,16686
2021-09-22,16704,16717,16638,16644
2021-09-23,16626,16738,16626,16726
2021-09-24,16705,16752,16701,16701
2021-09-27,16692,16753,16660,16660
2021-09-28,16667,16733,16665,16665
2021-09-29,16718,16718,16566,16566
2021-09-30,16630,16633,16526,16567
2021-10-01,16516,16603,16516,16536
2021-10-04,16577,16589,16543,16565
2021-10-05,16569,16569,16489,16516
2021-10-06,16540,16543,16436,16477
2021-10-07,16422,16485,16395,16415
2021-10-08,16446,16458,16410,16455
2021-10-11,16455,16455,16406,16406
2021-10-12,16412,16441,16378,16390
2021-10-13,16390,16480,16390,16474
2021-10-14,16429,16484,16302,16364
2021-10-15,16285,16422,16285,16316
2021-10-18,16315,16409,16307,16374
2021-10-19,16406,16435,16362,16362
2021-10-20,16360,16445,16360,16389
2021-10-21,16394,16486,16394,16405
2021-10-22,16425,16532,16425,16436
2021-10-25,16449,16537,16427,16427
2021-10-26,16396,16452,16385,16399
2021-10-27,16416,16511,16411,16453
